ISBN;Titel;Autoren;Erscheinungsdatum;BE_T;BE_E;BE_A;JM_T;JM_E;JM_A;NP_T;NP_E;NP_A;NL_T;NL_E;NL_A;WB_T;WB_E;WB_A;TD_T;TD_E;TD_A
978-3-647-55087-9;James Durham (1622–1658);MacLean, Donald;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55090-9;The Light of Grace: John Owen on the Authority of Scripture and Christian Faith;Leslie, Andrew;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70215-5;Religionspädagogisches Kompendium;-;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54035-0;The Great Controversy;de Bruin, Tom;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40365-6;Straining: Eine subtile Art von Mobbing;Ege, Harald;20141022;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-56853-9;Gott und Götter in den Weltreligionen;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40453-9;Handbook of Systemic Psychotherapy;Fryszer, Andreas /Schwing, Rainer;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-54039-9;Zwischen Landnahme und Königtum;Focken, Friedrich-Emanuel;20141022;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-99714-8;Diagnose: Besonderheit;-;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-61619-2;Kompetenzorientiertes Lehren und Lernen im Religionsunterricht;Obst, Gabriele;20150617;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-30070-2;Kommunikation im Musikleben;-;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55857-7;Nikolaus Ludwig von Zinzendorf: Bibel und Bibelgebrauch;-;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-10133-9;Architektur der Diplomatie;Hort, Jakob;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-52102-1;Die Bekenntnisschriften der Evangelisch-Lutherischen Kirche;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55073-2;Charlotte von Kirschbaum und Elisabeth Freiling;-;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-50005-7;Buddhismus;Freiberger, Oliver /Kleine, Christoph;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-62430-3;Theologia Prima;Haspelmath-Finatti, Dorothea;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-46213-4;Die Macht der inneren Bilder;Hüther, Gerald;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30041-1;Überwachtes Deutschland;Foschepoth, Josef;20140219;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-70168-3;Generation 'Social Media';Wampfler, Philippe;20140716;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-55062-6;“See, I will bring a scroll recounting what befell me” (Ps 40:8);-;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40227-7;Handbuch Kindertrauer;-;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-61618-5;Männerbeziehungen;-;20150715;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-80611-1;JETZT! LEBEN mit Krebs;-;20150520;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-80010-2;Die 1990er Jahre;-;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-36943-3;Jahrbuch des Simon-Dubnow-Instituts / Simon Dubnow Institute Yearbook XIII/2014;-;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-53974-4;1. Petrus;Merkt, Andreas;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-77685-8;Zwischen Abseits und Jenseits - Fußball und Religion;Arnhold, Oliver /Klein, Constantin;20140219;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-54043-6;The Meaning of the Letter of Aristeas;Matusova, Ekaterina;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56410-3;'Er ist unser Friede';Hofheinz, Marco;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40203-0;Stärke statt Macht;Omer, Haim /Schlippe, Arist von;20150218;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99658-5;Das Alphabet der Trauer;Hemmann, Isabella;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-53463-3;Die Taten des Petrus;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-80606-7;Kunst - dem Leid An-Sehen geben;-;20140514;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-55065-7;Shifting Patterns of Reformed Tradition;Campi, Emidio;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-53461-9;Der Klemensroman;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99532-8;Greenpeace;Zelko, Frank;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40243-7;Wie hältst du's mit dem Tod?;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30047-3;Kartierte Kolonialgeschichte;Renz, Mathias;20140122;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-70163-9;Herausforderndes Verhalten in der KiTa;Schirmer, Brita;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36723-0;Die Autonomie der Routine;Kypta, Ulla;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40235-1;Denken kann trösten;Zwierlein, Eduard;20140917;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-30073-3;Nationale Helden und jüdische Opfer;Hallama, Peter;20150504;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55056-4;Divinings: Religion at Harvard;-;20140917;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40239-9;Brauchen wir die Liebe noch?;Natho, Frank;20140424;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-40243-6;Wie hältst du's mit dem Tod?;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71102-6;Ovid, Metamorphosen;Hille-Coates, Gabriele;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-71739-4;Alltagsleben im alten Rom;Müller, Hubert;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-27833-8;Göttinger Händel-Beiträge, Band 16;-;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-25306-0;The Priority of Locomotion in Aristotle’s Physics;Odzuck, Sebastian;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70113-3;Kita-Management;-;20140514;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-36966-1;Verfolgte Schüler;Kwiatkowski-Celofiga, Tina;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-49098-3;Systemische Beratung in fünf Gängen;Brüggemann, Helga /Ehret-Ivankovic, Kristina;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55087-8;James Durham (1622-1658);MacLean, Donald;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-31716-7;Die Hamburger Sturmflut von 1962;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56449-3;Rezeption und Anerkennung;Bengard, Beate;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99697-4;Geteilte Geschichte;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-31030-4;Glaubenstoleranz und Schisma im Russländischen Imperium;Schmidt, Heiko;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99685-1;Grenzbereiche der Supervision – Verwaltung in Bewegung ;-;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55086-1;Orthodox, Puritan, Baptist;Weaver, Jr., G. Stephen;20150715;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-56415-9;Lutherrenaissance Past and Present;-;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-37504-4;Die DDR im Blick der Stasi 1965;-;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-36079-8;Österreich und der Immerwährende Reichstag;Rohrschneider, Michael;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30167-8;Loyal Subversion?;-;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-77012-3;Religion mit Kindern 4;Steinkühler, Martina;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-46270-6;Transsexualität – Transidentität;Rauchfleisch, Udo;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40453-0;Handbook of Systemic Psychotherapy;Fryszer, Andreas /Schwing, Rainer;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54397-9;Untersuchungen zur Geflügelwirtschaft im Alten Orient;von der Osten-Sacken, Elisabeth;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-01470-7;Autorität ohne Gewalt;Omer, Haim /Schlippe, Arist von;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-50344-7;Liederkunde zum Evangelischen Gesangbuch. Heft 21;-;20151001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40228-3;Störungsspezifische Psychodramatherapie;Krüger, Reinhard T.;20150617;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-40467-6;Handbuch Qualität in der Aufstellungsleitung;-;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40466-9;Ressource Jugendhilfe;Gehrmann, Ulrich;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99692-9;Werkbuch Diakonisches Lernen;Dorner, Martin /Fricke, Michael;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-63060-1;Im Dialog mit den Naturwissenschaften;Preßler, Hermann;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40377-8;Integrationsmanagement - Onboarding neuer Mitarbeiter;Habermann, Wolfgang /Lohaus, Daniela;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-90035-3;VIVA 1 Diagnose und individuelle Förderung - Ausgabe Bayern;Krämer, Annika /Schulz-Kullig, Birthe;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-58180-4;Weltreligionen;Meyer, Karlo;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55070-1;Konsolidierung des reformierten Bekenntnisses im Reich der Stephanskrone;Bernhard, Jan-Andrea;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40464-5;Etwas mehr Hirn, bitte;Hüther, Gerald /Hüther, Gerald;20150311;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-31718-2;Wasser;Wieland, Christian;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71738-7;Ovid, Amores und Heroides;Blank-Sangmeister, Ursula;20150218;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-56943-7;Medizin und Ärzte im deutschen Judentum der Reformära;Wolff, Eberhard;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30369-7;Briefwechsel;Dilthey, Wilhelm;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36083-5;'Nit wenig verwunderns und nachgedenkens';-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-20771-0;Etymologisches Wörterbuch des Althochdeutschen, Band 5;-;20140219;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-26411-9;Interaktive Fachdidaktik Latein;-;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55080-9;Die Präsenz Christi im Amt;Mumme, Jonathan;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-50173-3;Jerusalem;Küchler, Max;20140122;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-30169-3;Zwischen Stadt, Staat und Nation;-;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54029-0;Jerusalem und der eine Gott;Keel, Othmar;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-36013-2;Karl Alexander von Müller;Berg, Matthias;20140514;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-40257-3;Vom Wachsen und Werden im Prozess der Trauer;Adelt, Thorsten /Brathuhn, Sylvia;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-71092-0;VIVA 3 Lehrerband;Bartoszek, Verena /Datené, Verena;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-77015-3;Rock 'n' Religion;Günther, Matthias;20150617;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40468-3;Lehrbuch der MarteMeo-Methode;Bünder, Peter /Helfer, Angela;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-25306-9;The Priority of Locomotion in Aristotle's Physics;Odzuck, Sebastian;20140514;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40361-7;Handbuch Interkulturelle Öffnung;-;20140402;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-70216-1;Werkbuch Diakonisches Lernen;Dorner, Martin /Fricke, Michael;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-31714-3;Schlangenlinien;Masius, Patrick;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-53614-8;Continuity and Discontinuity;-;20140424;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-59367-7;Teufel, Tod und Trauer;Theobald, Florian;20150715;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-36963-1;Moralische Ordnungen des Nationalsozialismus;Bialas, Wolfgang;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99538-0;Identität im Zeitalter des Chamäleons;Lippmann, Eric;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99686-8;Herausforderndes Verhalten in der KiTa;Schirmer, Brita;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99722-3;Systematische Theologie;Pannenberg, Wolfhart;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40250-4;Buddha und Freud - Präsenz und Einsicht;Weischede, Gerald /Zwiebel, Ralf;20150520;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
